               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1085,            0.015376,             0.07645,            0.001857,                 0.1,           0.0013913,          0.00029708,            0.073786,            0.011145,            0.050984,              0.0982,              0.0002,              0.0002
                   1,             0.10494,            0.016387,            0.076205,           0.0017953,                 0.1,           0.0011492,          0.00022102,            0.070304,            0.011947,            0.050194,            0.095475,          0.00047525,          0.00047525
                   2,            0.098344,            0.018951,            0.074039,           0.0017528,                 0.1,           0.0010993,          0.00018782,            0.064287,            0.013371,            0.049031,            0.092721,           0.0007208,           0.0007208
                   3,            0.094595,            0.018939,            0.071608,           0.0029737,               0.175,           0.0021056,          0.00028619,             0.05776,            0.014741,            0.047359,            0.089937,          0.00093665,          0.00093665
                   4,            0.084949,            0.025662,             0.06746,           0.0032166,               0.225,           0.0024351,          0.00039816,            0.054213,            0.015414,            0.045839,            0.087123,           0.0011228,           0.0011228
                   5,            0.079385,            0.022693,             0.06656,           0.0043321,                 0.3,           0.0035926,           0.0006135,            0.052255,            0.015722,             0.04505,            0.084279,           0.0012793,           0.0012793
                   6,            0.076575,             0.02486,             0.06305,           0.0053188,               0.425,           0.0054699,          0.00099306,            0.050498,            0.015862,            0.043869,            0.081406,            0.001406,            0.001406
                   7,            0.076718,            0.026443,             0.06015,            0.010781,                0.85,            0.011463,           0.0022933,            0.049008,             0.01604,            0.043113,            0.078503,           0.0015031,           0.0015031
                   8,            0.078327,            0.023564,            0.060298,            0.011935,                0.95,             0.02065,           0.0055966,            0.047451,            0.015941,            0.041321,             0.07557,           0.0015704,           0.0015704
                   9,            0.071368,            0.025635,            0.054294,            0.012702,                   1,            0.037047,            0.010316,            0.046791,            0.015827,            0.040191,            0.072608,           0.0016081,           0.0016081
                  10,            0.075038,            0.023564,            0.055499,            0.012139,                   1,             0.13549,            0.032262,            0.045606,            0.015585,            0.038176,            0.069616,            0.001616,            0.001616
                  11,            0.066602,            0.030514,            0.048836,            0.011764,                   1,               0.192,            0.044633,            0.045312,            0.015265,             0.03672,            0.066594,           0.0015943,           0.0015943
                  12,            0.065006,            0.027381,            0.047722,            0.011183,                   1,             0.41657,             0.10357,            0.045554,            0.014578,            0.033853,            0.063543,           0.0015428,           0.0015428
                  13,            0.064473,            0.026731,            0.046311,            0.011101,                   1,             0.49454,             0.14198,            0.043872,            0.014487,            0.032452,            0.060462,           0.0014616,           0.0014616
                  14,            0.062603,            0.024423,            0.045067,             0.40261,                0.85,              0.5304,             0.16736,             0.03993,            0.014512,            0.030145,            0.057351,           0.0013508,           0.0013508
                  15,            0.062173,            0.020901,            0.043338,             0.24286,               0.925,             0.42042,             0.12094,            0.039549,            0.014263,            0.029117,             0.05421,           0.0012102,           0.0012102
                  16,            0.061482,            0.023681,            0.043915,             0.25742,               0.975,             0.52626,             0.16692,            0.039157,            0.013367,            0.028045,             0.05104,             0.00104,             0.00104
                  17,            0.057702,            0.022302,            0.041106,             0.28838,               0.925,             0.46139,             0.15016,            0.038786,            0.013056,            0.027527,             0.04784,          0.00084005,          0.00084005
                  18,            0.057441,            0.024253,             0.03966,             0.32559,               0.875,             0.46286,             0.15229,            0.038105,            0.012879,            0.027192,             0.04461,           0.0006104,           0.0006104
                  19,             0.05868,            0.021736,            0.039536,             0.35966,               0.925,             0.50249,             0.20296,            0.036928,            0.012835,             0.02708,            0.041351,          0.00035105,          0.00035105
